ListSchema={"schemaXmlList":["<Field ID=\"{fa564e0f-0c70-4ab9-b863-0177e6ddd247}\" Type=\"Text\" Name=\"Title\" DisplayName=\"Title\" Required=\"FALSE\" SourceID=\"http://schemas.microsoft.com/sharepoint/v3\" StaticName=\"Title\" FromBaseType=\"TRUE\" MaxLength=\"255\" />","<Field ID=\"{9a351b1a-4109-49c3-a888-1ca09f1e843b}\" DisplayName=\"Level\" Name=\"field_1\" StaticName=\"field_1\" Type=\"Number\" />","<Field ID=\"{c10801e2-458c-41a3-a138-50dcc702a4c0}\" DisplayName=\"SortOrder\" Name=\"field_2\" StaticName=\"field_2\" Type=\"Number\" />","<Field ID=\"{af551625-775d-4acb-9e95-3866af1868d1}\" DisplayName=\"Scenario\" Name=\"field_3\" StaticName=\"field_3\" Type=\"Text\" />","<Field ID=\"{694df669-7a38-46ff-ac9e-2c7a9e89ab14}\" DisplayName=\"Prompt\" Name=\"field_4\" StaticName=\"field_4\" Type=\"Text\" />","<Field ID=\"{562f4c88-1775-447c-9f8c-9c7adfee7da4}\" DisplayName=\"Option1\" Name=\"field_5\" StaticName=\"field_5\" Type=\"Text\" />","<Field ID=\"{52226ca3-c9c6-41b4-9356-676a41a0d09c}\" DisplayName=\"Option2\" Name=\"field_6\" StaticName=\"field_6\" Type=\"Text\" />","<Field ID=\"{406681ae-ee6c-4504-8d82-44281698749c}\" DisplayName=\"CorrectIndex\" Name=\"field_7\" StaticName=\"field_7\" Type=\"Number\" />"]}
"Title","Level","SortOrder","Scenario","Prompt","Option1","Option2","CorrectIndex"
"Easy Q1","1","1","YOU NOTICE A CONFIGURATION CHANGE YOUR TEAMMATE MADE LAST WEEK MAY BE AFFECTING SYSTEM PERFORMANCE. NO INCIDENTS HAVE BEEN REPORTED YET.","WHAT DO YOU DO?","Assume monitoring tools will catch serious problems","Flag it to your team and investigate the potential impact immediately","1"
"Easy Q2","1","2","A TEAMMATE URGENTLY NEEDS ACCESS TO COMPLETE A TASK AND ASKS TO BORROW YOUR PASSWORD TEMPORARILY.","WHAT DO YOU DO?","Share it and change the password later","Decline and direct them to request proper access","1"
"Easy Q3","1","3","YOU REALISE YOU STILL HAVE PRODUCTION ACCESS FROM A PREVIOUS PROJECT, EVEN THOUGH YOU NO LONGER NEED IT.","WHAT DO YOU DO?","Request for the access to be removed","Ignore it since you are not actively using it","0"
"Easy Q4","1","4","A TEAMMATE SUGGESTS TEMPORARILY BYPASSING A MONITORING ALERT BECAUSE IT HAS BEEN ""TRIGGERING TOO OFTEN.""","WHAT DO YOU DO?","Investigate why the alert is triggering before making changes","Turn it off and rely on manual checks","0"
"Medium Q1","2","1","DURING DEPLOYMENT, A TEAMMATE SUGGESTS MAKING A QUICK PRODUCTION TWEAK OUTSIDE THE APPROVED CHANGE REQUEST SCOPE.","WHAT SHOULD YOU DO?","Make the change and update documentation later","Reject the change and follow the approved process","1"
"Medium Q2","2","2","A TEAM WANTS TO DEPLOY MANUALLY BECAUSE THE CICD PIPELINE IS TEMPORARILY SLOW.","WHAT SHOULD YOU DO?","Use CICD unless a formal exemption exists","Approve manual deployment to avoid delays","0"
"Medium Q3","2","3","A SECURITY SCAN IDENTIFIES VULNERABILITIES THAT THE TEAM BELIEVES ARE ""LOW RISK.""","WHAT SHOULD YOU DO?","Ensure findings are assessed and remediated as required","Proceed without remediation","0"
"Medium Q4","2","4","YOU NOTICE RELEASE DOCUMENTATION DOES NOT CLEARLY MAP REQUIREMENTS TO CODE CHANGES AND TEST CASES.","WHAT SHOULD YOU DO?","Rely on verbal explanations instead","Ensure proper traceability is completed before deployment","1"
"Hard Q1","3","1","A PRODUCTION ISSUE OCCURS AFTER A DEPLOYMENT INVOLVING MULTIPLE TEAMS. YOUR TEAM'S COMPONENT MAY HAVE CONTRIBUTED, BUT ROOT CAUSE IS NOT CONFIRMED.","WHAT SHOULD YOU DO?","Proactively raise potential impact and support investigation efforts","Wait until investigations confirm involvement","0"
"Hard Q2","3","2","A DEVELOPER PROPOSES REMOVING AN OLD VALIDATION STEP BECAUSE IT APPEARS REDUNDANT AND SLOWS PERFORMANCE.","WHAT SHOULD YOU DO?","Assess whether it acts as a hidden safeguard elsewhere in the system","Remove it temporarily and monitor production","0"
"Hard Q3","3","3","YOU NOTICE EXPERIENCED TEAM MEMBERS REGULARLY BYPASS SMALL PROCESS STEPS BECAUSE ""NOTHING HAS GONE WRONG BEFORE.""","WHAT SHOULD YOU DO?","Follow the process during audits","Raise concerns and continue following established processes","1"
"Hard Q4","3","4","A CRITICAL CUSTOMER ISSUE REQUIRES URGENT INTERVENTION, BUT PROPER ACCESS HAS NOT YET BEEN GRANTED.","WHAT SHOULD YOU DO?","Suppress alerts until patterns become clearer","Escalate and investigate the abnormal behaviour","1"
